draw_date,num1,num2,num3,num4,num5,num6,game_cd,RESULT
2015-11-27 00:00:00.0,32,51,27,1,16,20,5,325127011620
2015-11-29 00:00:00.0,19,51,38,17,43,4,5,195138174304
2015-12-04 00:00:00.0,22,28,1,43,6,13,5,222801430613
2015-12-06 00:00:00.0,38,33,11,25,54,41,5,383311255441
2015-12-11 00:00:00.0,8,55,11,33,5,10,5,085511330510
2015-12-13 00:00:00.0,50,52,9,33,8,31,5,505209330831
2015-12-18 00:00:00.0,53,30,54,41,43,26,5,533054414326
2015-12-20 00:00:00.0,16,7,50,3,26,53,5,160750032653
2015-12-27 00:00:00.0,13,27,23,11,1,9,5,132723110109
2016-01-03 00:00:00.0,26,10,5,24,49,12,5,261005244912
2016-01-08 00:00:00.0,38,35,33,8,49,52,5,383533084952
2016-01-10 00:00:00.0,23,54,31,5,32,3,5,235431053203
2016-01-15 00:00:00.0,22,16,45,56,54,39,5,221645565439
2016-01-17 00:00:00.0,53,19,58,38,4,27,5,531958380427
2016-01-22 00:00:00.0,37,14,25,9,46,31,5,371425094631
2016-01-24 00:00:00.0,25,43,49,57,6,13,5,254349570613
2016-01-29 00:00:00.0,44,12,54,33,4,53,5,441254330453
2016-01-31 00:00:00.0,15,20,37,29,54,16,5,152037295416
2016-02-05 00:00:00.0,35,6,48,58,33,50,5,350648583350
2016-02-07 00:00:00.0,40,55,20,13,32,23,5,405520133223
2016-02-12 00:00:00.0,47,30,49,27,46,42,5,473049274642
2016-02-14 00:00:00.0,27,34,42,21,11,38,5,273442211138
2016-02-19 00:00:00.0,10,3,1,51,44,13,5,100301514413
2016-02-21 00:00:00.0,39,33,19,21,9,55,5,393319210955
2016-02-26 00:00:00.0,44,58,9,41,23,35,5,445809412335
2016-02-28 00:00:00.0,10,13,23,11,7,9,5,101323110709
2016-03-04 00:00:00.0,36,41,3,6,15,26,5,364103061526
2016-03-06 00:00:00.0,48,37,33,34,41,50,5,483733344150
2016-03-11 00:00:00.0,25,7,36,39,31,30,5,250736393130
2016-03-13 00:00:00.0,27,12,1,11,29,52,5,271201112952
2016-03-18 00:00:00.0,33,4,48,44,19,38,5,330448441938
2016-03-20 00:00:00.0,29,8,33,46,35,21,5,290833463521
2016-04-01 00:00:00.0,47,25,20,44,6,55,5,472520440655
2016-04-03 00:00:00.0,36,39,33,1,11,50,5,363933011150
2016-04-08 00:00:00.0,40,41,1,25,28,44,5,404101252844
2016-04-10 00:00:00.0,53,48,44,4,46,11,5,534844044611
2016-04-15 00:00:00.0,7,53,13,50,22,1,5,075313502201
2016-04-17 00:00:00.0,34,19,33,39,6,49,5,341933390649
2016-04-22 00:00:00.0,2,51,40,33,20,13,5,025140332013
2016-04-24 00:00:00.0,36,35,51,38,46,30,5,363551384630
2016-04-29 00:00:00.0,35,56,30,46,57,8,5,355630465708
2016-05-01 00:00:00.0,27,41,15,52,39,4,5,274115523904
2016-05-06 00:00:00.0,38,23,55,17,51,8,5,382355175108
2016-05-08 00:00:00.0,49,52,22,1,46,41,5,495222014641
2016-05-13 00:00:00.0,8,12,9,50,13,46,5,081209501346
2016-05-15 00:00:00.0,41,21,13,52,36,6,5,412113523606
2016-05-20 00:00:00.0,5,42,34,49,33,52,5,054234493352
2016-05-22 00:00:00.0,31,40,42,51,6,18,5,314042510618
2016-05-27 00:00:00.0,11,50,56,53,12,9,5,115056531209
2016-05-29 00:00:00.0,6,44,36,54,32,29,5,064436543229
2016-06-03 00:00:00.0,13,2,25,6,3,49,5,130225060349
2016-06-05 00:00:00.0,22,5,7,25,53,32,5,220507255332
2016-06-10 00:00:00.0,39,19,54,6,22,12,5,391954062212
2016-06-12 00:00:00.0,50,3,49,13,58,34,5,500349135834
2016-06-17 00:00:00.0,16,58,33,35,2,50,5,165833350250
2016-06-19 00:00:00.0,45,46,7,3,49,58,5,454607034958
2016-06-24 00:00:00.0,51,49,25,40,31,45,5,514925403145
2016-06-26 00:00:00.0,11,53,2,29,1,9,5,115302290109
2016-07-01 00:00:00.0,36,47,4,3,20,28,5,364704032028
2016-07-03 00:00:00.0,54,23,32,4,14,38,5,542332041438
2016-07-08 00:00:00.0,11,27,51,2,16,41,5,112751021641
2016-07-10 00:00:00.0,44,39,43,10,7,23,5,443943100723
2016-07-15 00:00:00.0,6,21,57,31,53,2,5,062157315302
